id,seed_type,mean_length,mean_width,mean_area,stddev_length_mm,stddev_width_mm,stddev_area_mms
4298,wildtype,1.950159570817685,1.5068194389030667,2.055071530596696,0.11748510898876091,0.10542667080750112,0.2516801405865039
4299,wildtype,1.8578288993744503,1.449943901457874,1.8739575473279642,0.0875893284094074,0.0876252506985722,0.17532882807159447
4300,wildtype,1.8686824601696106,1.444915491152496,1.8793823979306064,0.08735699267002352,0.07535590660887227,0.15785127205009053
4301,wildtype,1.8934041459638054,1.4685218618736957,1.9351719174287576,0.11004676406742436,0.09282046241149815,0.21097740872491247
4302,wildtype,1.7023511962580558,1.344828784311818,1.5920177516711744,0.1174027407424533,0.10132685271873944,0.21573808838758715
4303,wildtype,1.7907466241433987,1.3727104969260944,1.6989097883064601,0.09529689487307834,0.0852258729401754,0.1735041314078958
4304,wildtype,1.7574748510434066,1.349093140733264,1.6362560239908126,0.10441264301086829,0.08656098031182227,0.18130233072399898
4305,wildtype,1.7817557078023938,1.3789121246673282,1.6998993497819328,0.10837647310054979,0.08599112503291086,0.19086244842436095
4306,mutant 11B,1.7892444147284243,1.398249309114938,1.7392603050113233,0.12079856326202625,0.095215291324843,0.22353320267755933
4307,mutant 11B,1.9219129260900418,1.492058401074773,1.999179337979542,0.1015281929035,0.08605130192692176,0.19485205378998396
4308,mutant 11B,1.8862415286360448,1.474351310385658,1.939330189740339,0.09190126349586498,0.08554155506681084,0.19213473926062227
4309,mutant 11B,1.8101657766706933,1.4100306466128694,1.7721961521967315,0.10201006473177436,0.0871263543073605,0.18871304419906185
4310,mutant 11B,1.8604387397530158,1.4579108009162103,1.8793180092589257,0.1403086575707832,0.0985997307596975,0.2238180856991141
4311,mutant 11B,1.8931584472686798,1.48540680989064,1.9670897487858607,0.09411975220272624,0.08740034183571066,0.19632280280115358
4312,mutant 11B,1.8853920268253175,1.471514706457534,1.9367866159098621,0.09099265863814851,0.08378416076055928,0.1755850402981191
4313,mutant 11B,1.84033664967379,1.4461187006165517,1.8506618058711084,0.10157232174040598,0.09035266590924494,0.20189075191729647
4314,mutatn 8A,1.9501700839324752,1.5078423328097956,2.088131923244079,0.20208825613717832,0.17842044362330406,0.43318007492983757
4315,mutatn 8A,1.9015300591673747,1.4761746975048504,1.9561858521311069,0.09412813820532079,0.07637315133045575,0.16773797634171222
4316,mutatn 8A,1.8887953504041282,1.4584034764921414,1.929208499504743,0.15850292683647513,0.1279285884315694,0.309792240064239
4317,mutatn 8A,1.9100470331036883,1.4911838372144497,2.0099514188314336,0.21145982328142848,0.1770322312623995,0.4436976220705713
4318,mutatn 8A,1.9196178833244972,1.4942662745066386,2.0489445370613995,0.2412815382276664,0.20884088859246094,0.5224745077870833
4319,mutatn 8A,1.9359670265680105,1.5010305247131726,2.027317436936795,0.09976046651909519,0.09135546024429615,0.2026314991379075
4320,mutatn 8A,1.9340731843243262,1.4992421133714642,2.0438538130736417,0.19401148748957614,0.16196131508029316,0.40549411625434423
4321,mutatn 8A,1.922765826488064,1.4719257238535426,1.985733017128118,0.1873939570676807,0.14614318206224008,0.36561383852501983
4322,mutant 7B,1.8534358403566225,1.4336537654420096,1.846570586597452,0.11949253675124676,0.10789667316752431,0.25632456008393245
4323,mutant 7B,1.9602636240569624,1.5306732364097928,2.1044514480064893,0.14989704169084553,0.12702118024158024,0.32603132900965087
4324,mutant 7B,1.9119487404597162,1.4922033189416979,1.9944788092467625,0.10456482372196808,0.08267608878962529,0.2050305881547626
4325,mutant 7B,1.954025210561352,1.5310679135362422,2.1102898871099165,0.15238308201613698,0.13706071499749384,0.3279626174688595
4326,mutant 7B,1.9621902677720042,1.5311661027392713,2.098823381100791,0.11463290015707035,0.10595131099826602,0.2500152056647499
4327,mutant 7B,1.8613502269847828,1.4505770151188644,1.8785223830560331,0.09397889203588848,0.08227551428123528,0.17803815494339187
4328,mutant 7B,1.8036630854246232,1.4050863053760896,1.7621450313289453,0.12588678518517904,0.09991163776606071,0.24310671832003647
4329,mutant 7B,1.850965258690035,1.45113344347072,1.8705272736430543,0.09755800025071613,0.08669604191723536,0.19209315872797544
